ID,Sex,Occasion1,Occasion2,Occasion3,Occasion4,Occasion5,Occasion6,Occasion7
41,Female,0,0,0,0,0,1,0
42,Female,0,0,0,0,0,1,0
43,Female,0,0,0,0,0,1,0
44,Female,0,0,0,0,0,1,0
45,Female,0,0,0,0,0,1,0
46,Female,0,0,0,0,0,1,0
47,Female,0,0,0,0,0,1,0
48,Female,0,0,0,0,0,1,0
49,Female,0,0,0,0,0,1,0
50,Female,0,0,0,0,0,1,0
51,Female,0,0,0,0,0,1,0
52,Male,0,0,0,0,0,1,0
53,Male,0,0,0,0,0,1,0
54,Male,0,0,0,0,0,1,0
55,Male,0,0,0,0,0,1,0
56,Male,0,0,0,0,0,1,0
57,Male,0,0,0,0,0,1,0
58,Male,0,0,0,0,0,1,0
59,Male,0,0,0,0,0,1,0
60,Male,0,0,0,0,0,1,0
61,Male,0,0,0,0,0,1,0
62,Male,0,0,0,0,0,1,0
63,Female,0,0,0,0,0,1,1
64,Female,0,0,0,0,0,1,1
65,Female,0,0,0,0,0,1,1
66,Female,0,0,0,0,0,1,1
67,Female,0,0,0,0,0,1,1
68,Female,0,0,0,0,0,1,1
69,Female,0,0,0,0,0,1,1
70,Female,0,0,0,0,0,1,1
71,Female,0,0,0,0,0,1,1
72,Female,0,0,0,0,0,1,1
73,Female,0,0,0,0,0,1,1
74,Male,0,0,0,0,0,1,1
75,Male,0,0,0,0,0,1,1
76,Male,0,0,0,0,0,1,1
77,Male,0,0,0,0,0,1,1
78,Male,0,0,0,0,0,1,1
79,Male,0,0,0,0,0,1,1
80,Male,0,0,0,0,0,1,1
81,Male,0,0,0,0,0,1,1
82,Male,0,0,0,0,0,1,1
83,Male,0,0,0,0,0,1,1
84,Male,0,0,0,0,0,1,1
85,Male,0,0,0,0,0,1,1
86,Female,0,0,0,0,1,0,0
87,Female,0,0,0,0,1,0,0
88,Female,0,0,0,0,1,0,0
89,Female,0,0,0,0,1,0,0
90,Female,0,0,0,0,1,0,0
91,Female,0,0,0,0,1,0,0
92,Female,0,0,0,0,1,0,0
93,Male,0,0,0,0,1,0,0
94,Male,0,0,0,0,1,0,0
95,Male,0,0,0,0,1,0,0
96,Male,0,0,0,0,1,0,0
97,Male,0,0,0,0,1,0,0
98,Male,0,0,0,0,1,0,0
99,Male,0,0,0,0,1,0,0
100,Male,0,0,0,0,1,0,0
101,Male,0,0,0,0,1,0,0
102,Female,0,0,0,0,1,1,0
103,Female,0,0,0,0,1,1,0
104,Female,0,0,0,0,1,1,0
105,Female,0,0,0,0,1,1,0
106,Female,0,0,0,0,1,1,0
107,Female,0,0,0,0,1,1,0
108,Male,0,0,0,0,1,1,0
109,Male,0,0,0,0,1,1,0
110,Male,0,0,0,0,1,1,0
111,Female,0,0,0,0,1,1,1
112,Female,0,0,0,0,1,1,1
113,Female,0,0,0,0,1,1,1
114,Female,0,0,0,0,1,1,1
115,Female,0,0,0,0,1,1,1
116,Female,0,0,0,0,1,1,1
117,Male,0,0,0,0,1,1,1
118,Male,0,0,0,0,1,1,1
119,Male,0,0,0,0,1,1,1
120,Male,0,0,0,0,1,1,1
121,Male,0,0,0,0,1,1,1
122,Male,0,0,0,0,1,1,1
123,Male,0,0,0,0,1,1,1
124,Male,0,0,0,0,1,1,1
125,Male,0,0,0,0,1,1,1
126,Male,0,0,0,0,1,1,1
127,Female,0,0,0,1,0,0,0
128,Female,0,0,0,1,0,0,0
129,Female,0,0,0,1,0,0,0
130,Female,0,0,0,1,0,0,0
131,Female,0,0,0,1,0,0,0
132,Female,0,0,0,1,0,0,0
133,Female,0,0,0,1,0,0,0
134,Female,0,0,0,1,0,0,0
135,Female,0,0,0,1,0,0,0
136,Female,0,0,0,1,0,0,0
137,Male,0,0,0,1,0,0,0
138,Male,0,0,0,1,0,0,0
139,Male,0,0,0,1,0,0,0
140,Male,0,0,0,1,0,0,0
141,Male,0,0,0,1,0,0,0
142,Male,0,0,0,1,0,0,0
143,Female,0,0,0,1,0,0,1
144,Male,0,0,0,1,0,0,1
145,Female,0,0,0,1,0,1,1
146,Female,0,0,0,1,1,0,0
147,Female,0,0,0,1,1,0,0
148,Female,0,0,0,1,1,0,0
149,Female,0,0,0,1,1,0,0
150,Female,0,0,0,1,1,0,0
151,Male,0,0,0,1,1,0,0
152,Male,0,0,0,1,1,0,0
153,Male,0,0,0,1,1,0,0
154,Male,0,0,0,1,1,0,0
155,Male,0,0,0,1,1,0,0
156,Male,0,0,0,1,1,0,0
157,Female,0,0,0,1,1,1,0
158,Female,0,0,0,1,1,1,0
159,Female,0,0,0,1,1,1,0
160,Female,0,0,0,1,1,1,0
161,Male,0,0,0,1,1,1,0
162,Male,0,0,0,1,1,1,0
163,Male,0,0,0,1,1,1,0
164,Female,0,0,0,1,1,1,1
165,Female,0,0,0,1,1,1,1
166,Male,0,0,0,1,1,1,1
167,Male,0,0,0,1,1,1,1
168,Male,0,0,0,1,1,1,1
169,Male,0,0,0,1,1,1,1
170,Male,0,0,0,1,1,1,1
171,Male,0,0,0,1,1,1,1
172,Female,0,0,1,0,0,0,0
173,Female,0,0,1,0,0,0,0
174,Female,0,0,1,0,0,0,0
175,Female,0,0,1,0,0,0,0
176,Female,0,0,1,0,0,0,0
177,Female,0,0,1,0,0,0,0
178,Female,0,0,1,0,0,0,0
179,Female,0,0,1,0,0,0,0
180,Female,0,0,1,0,0,0,0
181,Female,0,0,1,0,0,0,0
182,Female,0,0,1,0,0,0,0
183,Female,0,0,1,0,0,0,0
184,Female,0,0,1,0,0,0,0
185,Female,0,0,1,0,0,0,0
186,Female,0,0,1,0,0,0,0
187,Female,0,0,1,0,0,0,0
188,Female,0,0,1,0,0,0,0
189,Female,0,0,1,0,0,0,0
190,Male,0,0,1,0,0,0,0
191,Male,0,0,1,0,0,0,0
192,Male,0,0,1,0,0,0,0
193,Male,0,0,1,0,0,0,0
194,Male,0,0,1,0,0,0,0
195,Male,0,0,1,0,0,0,0
196,Male,0,0,1,0,0,0,0
197,Male,0,0,1,0,0,0,0
198,Male,0,0,1,0,0,0,0
199,Male,0,0,1,0,0,0,0
200,Male,0,0,1,0,0,0,0
201,Male,0,0,1,0,1,1,0
202,Female,0,0,1,1,0,0,0
203,Female,0,0,1,1,0,0,0
204,Female,0,0,1,1,0,0,0
205,Female,0,0,1,1,0,0,0
206,Male,0,0,1,1,0,0,0
207,Male,0,0,1,1,0,0,0
208,Male,0,0,1,1,0,0,0
209,Male,0,0,1,1,0,0,0
210,Male,0,0,1,1,0,0,0
211,Male,0,0,1,1,0,0,0
212,Male,0,0,1,1,0,0,0
213,Male,0,0,1,1,0,0,0
214,Female,0,0,1,1,1,0,0
215,Female,0,0,1,1,1,0,0
216,Male,0,0,1,1,1,0,0
217,Male,0,0,1,1,1,0,0
218,Male,0,0,1,1,1,0,0
219,Male,0,0,1,1,1,0,0
220,Female,0,0,1,1,1,1,0
221,Male,0,0,1,1,1,1,0
222,Female,0,0,1,1,1,1,1
223,Female,0,0,1,1,1,1,1
224,Female,0,1,0,0,0,0,0
225,Female,0,1,0,0,0,0,0
226,Female,0,1,0,0,0,0,0
227,Female,0,1,0,0,0,0,0
228,Female,0,1,0,0,0,0,0
229,Female,0,1,0,0,0,0,0
230,Female,0,1,0,0,0,0,0
231,Female,0,1,0,0,0,0,0
232,Female,0,1,0,0,0,0,0
233,Female,0,1,0,0,0,0,0
234,Female,0,1,0,0,0,0,0
235,Female,0,1,0,0,0,0,0
236,Female,0,1,0,0,0,0,0
237,Female,0,1,0,0,0,0,0
238,Female,0,1,0,0,0,0,0
239,Female,0,1,0,0,0,0,0
240,Female,0,1,0,0,0,0,0
241,Female,0,1,0,0,0,0,0
242,Male,0,1,0,0,0,0,0
243,Male,0,1,0,0,0,0,0
244,Male,0,1,0,0,0,0,0
245,Male,0,1,0,0,0,0,0
246,Male,0,1,0,0,0,0,0
247,Male,0,1,0,0,0,0,0
248,Male,0,1,0,0,0,0,0
249,Male,0,1,0,0,0,0,0
250,Male,0,1,0,0,0,0,0
251,Male,0,1,0,0,0,0,0
252,Male,0,1,0,0,0,0,0
253,Female,0,1,1,0,0,0,0
254,Female,0,1,1,0,0,0,0
255,Female,0,1,1,0,0,0,0
256,Female,0,1,1,0,0,0,0
257,Male,0,1,1,0,0,0,0
258,Male,0,1,1,0,0,0,0
259,Male,0,1,1,0,0,0,0
260,Male,0,1,1,0,0,0,0
261,Male,0,1,1,0,0,0,0
262,Male,0,1,1,0,0,0,0
263,Male,0,1,1,0,0,0,0
264,Female,0,1,1,0,1,1,0
265,Female,0,1,1,1,0,0,0
266,Male,0,1,1,1,0,0,0
267,Female,0,1,1,1,1,0,0
268,Female,0,1,1,1,1,0,0
269,Male,0,1,1,1,1,0,0
270,Female,0,1,1,1,1,1,0
271,Female,0,1,1,1,1,1,1
272,Female,0,1,1,1,1,1,1
273,Female,1,0,0,0,0,0,0
274,Female,1,0,0,0,0,0,0
275,Female,1,0,0,0,0,0,0
276,Female,1,0,0,0,0,0,0
277,Male,1,0,0,0,0,0,0
278,Male,1,0,0,0,0,0,0
279,Male,1,0,0,0,0,0,0
280,Male,1,0,0,0,0,0,0
281,Male,1,0,0,0,0,0,0
282,Female,1,0,1,0,0,0,0
283,Male,1,0,1,0,0,0,0
284,Female,1,1,0,0,0,0,0
285,Female,1,1,0,0,0,0,0
286,Male,1,1,0,0,0,0,0
287,Male,1,1,0,0,0,0,0
288,Male,1,1,0,0,0,0,0
289,Male,1,1,0,0,0,0,0
290,Female,1,1,0,1,1,1,0
291,Female,1,1,1,1,0,0,0
292,Male,1,1,1,1,0,0,0
293,Female,1,1,1,1,1,0,0
294,Male,1,1,1,1,1,1,0
